x atomi=0 dirx_anal=0.0191944104077330 dirx_num=0.0191934645954461 diff=-0.0000009458122869 
y atomi=0 diry_anal=-0.0223342462452728 diry_num=-0.0223337792704115 diff=0.0000004669748613 
z atomi=0 dirz_anal=0.0111862911437590 dirz_num=0.0111862163976184 diff=-0.0000000747461406 
x atomi=1 dirx_anal=-0.0145662026828691 dirx_num=-0.0145675471685536 diff=-0.0000013444856844 
y atomi=1 diry_anal=0.0265877933552990 diry_num=0.0265862354353885 diff=-0.0000015579199105 
z atomi=1 dirz_anal=-0.0166916444011737 dirz_num=-0.0166906488630048 diff=0.0000009955381690 
y atomi=2 diry_anal=-0.0233803676937900 diry_num=-0.0233822561312991 diff=-0.0000018884375091 
z atomi=2 dirz_anal=0.0120069238894028 dirz_num=0.0120107301881944 diff=0.0000038062987916 
x atomi=4 dirx_anal=0.0129972309594216 dirx_num=0.0129986688079953 diff=0.0000014378485737 
y atomi=5 diry_anal=0.0271721537292236 diry_num=0.0271691646958061 diff=-0.0000029890334175 
y atomi=6 diry_anal=-0.0253490695018922 diry_num=-0.0253524490290147 diff=-0.0000033795271224 
x atomi=10 dirx_anal=0.0030994431006495 dirx_num=0.0031016611501400 diff=0.0000022180494905 
x atomi=19 dirx_anal=0.0164133898522499 dirx_num=0.0164098423738324 diff=-0.0000035474784175 
x atomi=35 dirx_anal=0.0390662337567038 dirx_num=0.0390625132240530 diff=-0.0000037205326509 
y atomi=38 diry_anal=-0.0166833364092220 diry_num=-0.0166792801792326 diff=0.0000040562299894 
z atomi=49 dirz_anal=-0.0037228493208971 dirz_num=-0.0037184122447798 diff=0.0000044370761173 
x atomi=117 dirx_anal=-0.0240440073507924 dirx_num=-0.0240478925661591 diff=-0.0000038852153668 
x atomi=258 dirx_anal=-0.0136382685362265 dirx_num=-0.0136424205265939 diff=-0.0000041519903674 
x atomi=322 dirx_anal=0.0283676973581080 dirx_num=0.0283628764918831 diff=-0.0000048208662249 
x atomi=420 dirx_anal=-0.0301446923583827 dirx_num=-0.0301500335808669 diff=-0.0000053412224841 
y atomi=537 diry_anal=0.0272410745714407 diry_num=0.0272453348770796 diff=0.0000042603056389 
y atomi=904 diry_anal=-0.0336244415023570 diry_num=-0.0336288508151483 diff=-0.0000044093127913 
z atomi=908 dirz_anal=0.0081603471837293 dirz_num=0.0081649886851665 diff=0.0000046415014371 
z atomi=958 dirz_anal=0.0134411080595195 dirz_num=0.0134463107315241 diff=0.0000052026720046 
y atomi=1068 diry_anal=-0.0268068709838395 diry_num=-0.0268119038082659 diff=-0.0000050328244264 
