x atomi=0 dirx_anal=0.0191944104077330 dirx_num=0.0191934645954461 diff=-0.0000009458122869 
y atomi=0 diry_anal=-0.0223342462452728 diry_num=-0.0223337792704115 diff=0.0000004669748613 
z atomi=0 dirz_anal=0.0111862911437590 dirz_num=0.0111862163976184 diff=-0.0000000747461406 
x atomi=1 dirx_anal=-0.0145662026828691 dirx_num=-0.0145675471685536 diff=-0.0000013444856844 
y atomi=1 diry_anal=0.0265877933552990 diry_num=0.0265862354353885 diff=-0.0000015579199105 
z atomi=1 dirz_anal=-0.0166916444011737 dirz_num=-0.0166906488630048 diff=0.0000009955381690 
x atomi=2 dirx_anal=0.0161452215067111 dirx_num=0.0161446678248467 diff=-0.0000005536818644 
y atomi=2 diry_anal=-0.0233803676937900 diry_num=-0.0233822561312991 diff=-0.0000018884375091 
z atomi=2 dirz_anal=0.0120069238894028 dirz_num=0.0120107301881944 diff=0.0000038062987916 
x atomi=3 dirx_anal=-0.0114101164281446 dirx_num=-0.0114101794679300 diff=-0.0000000630397854 
y atomi=3 diry_anal=0.0269695659451801 diry_num=0.0269696442956047 diff=0.0000000783504246 
z atomi=3 dirz_anal=-0.0165830974232625 dirz_num=-0.0165820779329806 diff=0.0000010194902819 
x atomi=4 dirx_anal=0.0129972309594216 dirx_num=0.0129986688079953 diff=0.0000014378485737 
y atomi=4 diry_anal=-0.0243933746065509 diry_num=-0.0243926479015499 diff=0.0000007267050010 
z atomi=4 dirz_anal=0.0127955416905145 dirz_num=0.0127940325000964 diff=-0.0000015091904182 
x atomi=5 dirx_anal=-0.0081528717719276 dirx_num=-0.0081536200013943 diff=-0.0000007482294667 
y atomi=5 diry_anal=0.0271721537292236 diry_num=0.0271691646958061 diff=-0.0000029890334175 
z atomi=5 dirz_anal=-0.0163600318869139 dirz_num=-0.0163598201652349 diff=0.0000002117216790 
x atomi=6 dirx_anal=0.0097663320581103 dirx_num=0.0097662677944754 diff=-0.0000000642636349 
y atomi=6 diry_anal=-0.0253490695018922 diry_num=-0.0253524490290147 diff=-0.0000033795271224 
z atomi=6 dirz_anal=0.0135376261021698 dirz_num=0.0135389655042673 diff=0.0000013394020974 
x atomi=7 dirx_anal=-0.0048009282588844 dirx_num=-0.0048015635911725 diff=-0.0000006353322881 
y atomi=7 diry_anal=0.0271951555573691 diry_num=0.0271955968855764 diff=0.0000004413282073 
z atomi=7 dirz_anal=-0.0160202257241602 dirz_num=-0.0160190438691643 diff=0.0000011818549959 
x atomi=8 dirx_anal=0.0064617910840147 dirx_num=0.0064605387706251 diff=-0.0000012523133895 
y atomi=8 diry_anal=-0.0262220132777484 diry_num=-0.0262193111666420 diff=0.0000027021111064 
z atomi=8 dirz_anal=0.0142182335213835 dirz_num=0.0142168232741824 diff=-0.0000014102472011 
x atomi=9 dirx_anal=-0.0013689997861744 dirx_num=-0.0013702106116398 diff=-0.0000012108254654 
y atomi=9 diry_anal=0.0270467459007748 diry_num=0.0270489408649155 diff=0.0000021949641406 
z atomi=9 dirz_anal=-0.0155582616515453 dirz_num=-0.0155574753080145 diff=0.0000007863435308 
x atomi=10 dirx_anal=0.0030994431006495 dirx_num=0.0031016611501400 diff=0.0000022180494905 
y atomi=10 diry_anal=-0.0269821695881056 diry_num=-0.0269801603280939 diff=0.0000020092600117 
z atomi=10 dirz_anal=0.0148235076055096 dirz_num=0.0148222056850500 diff=-0.0000013019204596 
x atomi=11 dirx_anal=0.0021323465047163 dirx_num=0.0021341861611290 diff=0.0000018396564128 
y atomi=11 diry_anal=0.0267361937939118 diry_num=0.0267357336269924 diff=-0.0000004601669194 
z atomi=11 dirz_anal=-0.0149787084116884 dirz_num=-0.0149793777382001 diff=-0.0000006693265117 
x atomi=12 dirx_anal=-0.0003115817463796 dirx_num=-0.0003120703695458 diff=-0.0000004886231662 
y atomi=12 diry_anal=-0.0276004105911245 diry_num=-0.0275994693765824 diff=0.0000009412145421 
z atomi=12 dirz_anal=0.0153399005424395 dirz_num=0.0153400492308720 diff=0.0000001486884325 
x atomi=13 dirx_anal=0.0056832119554990 dirx_num=0.0056812154980435 diff=-0.0000019964574556 
y atomi=13 diry_anal=0.0262813473469409 diry_num=0.0262818389273889 diff=0.0000004915804480 
z atomi=13 dirz_anal=-0.0142845111216824 dirz_num=-0.0142819089887780 diff=0.0000026021329044 
x atomi=14 dirx_anal=-0.0037546285827239 dirx_num=-0.0037547920328507 diff=-0.0000001634501268 
y atomi=14 diry_anal=-0.0280465205770326 diry_num=-0.0280448375633569 diff=0.0000016830136758 
z atomi=14 dirz_anal=0.0157567936140653 dirz_num=0.0157578483594989 diff=0.0000010547454336 
x atomi=15 dirx_anal=0.0092658632596296 dirx_num=0.0092677510110661 diff=0.0000018877514366 
y atomi=15 diry_anal=0.0256995534351242 diry_num=0.0257003307524428 diff=0.0000007773173187 
z atomi=15 dirz_anal=-0.0134879741641278 dirz_num=-0.0134892275127640 diff=-0.0000012533486363 
x atomi=16 dirx_anal=-0.0072188543754131 dirx_num=-0.0072208194978884 diff=-0.0000019651224753 
y atomi=16 diry_anal=-0.0282936494645923 diry_num=-0.0282915380012128 diff=0.0000021114633795 
z atomi=16 dirz_anal=0.0160646310647492 dirz_num=0.0160662239068188 diff=0.0000015928420696 
x atomi=17 dirx_anal=0.0128519774767373 dirx_num=0.0128511601360515 diff=-0.0000008173406859 
y atomi=17 diry_anal=0.0250146357079068 diry_num=0.0250133780355100 diff=-0.0000012576723969 
z atomi=17 dirz_anal=-0.0126009541556162 dirz_num=-0.0126033228298184 diff=-0.0000023686742021 
x atomi=18 dirx_anal=-0.0106841160311604 dirx_num=-0.0106848574432661 diff=-0.0000007414121057 
y atomi=18 diry_anal=-0.0283179865351729 diry_num=-0.0283176859738887 diff=0.0000003005612842 
z atomi=18 dirz_anal=0.0162588130372187 dirz_num=0.0162592073138512 diff=0.0000003942766325 
x atomi=19 dirx_anal=0.0164133898522499 dirx_num=0.0164098423738324 diff=-0.0000035474784175 
y atomi=19 diry_anal=0.0242465012405540 diry_num=0.0242479814005492 diff=0.0000014801599951 
z atomi=19 dirz_anal=-0.0116436475866424 dirz_num=-0.0116421006168821 diff=0.0000015469697603 
x atomi=20 dirx_anal=-0.0141340061629936 dirx_num=-0.0141307054946083 diff=0.0000033006683853 
y atomi=20 diry_anal=-0.0281017431675420 diry_num=-0.0280999756796518 diff=0.0000017674878902 
z atomi=20 dirz_anal=0.0163363572064282 dirz_num=0.0163353774951247 diff=-0.0000009797113035 
x atomi=21 dirx_anal=0.0199110700172998 dirx_num=0.0199105443243752 diff=-0.0000005256929245 
y atomi=21 diry_anal=0.0234176013379414 diry_num=0.0234177832680871 diff=0.0000001819301457 
